"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"118","Pgam1",1.57388535498837e-69,0.50048789928431,0.932,0.789,5.08128886857994e-65
"119","C1qc",2.54134489942082e-69,-1.44315812919027,0.85,0.904,8.20473200778013e-65
"120","Rps28",6.43394030902584e-69,0.285339932152927,0.994,0.981,2.07719762876899e-64
"121","Cd44",9.34204524940062e-69,0.441520598954629,0.728,0.422,3.01607930876899e-64
"122","AW112010",1.13134799101891e-68,0.531334209161783,0.985,0.929,3.65255698900456e-64
"123","Rnaset2a",1.33257004759607e-68,-0.740810589185798,0.793,0.801,4.3022023986639e-64
"124","Pros1",3.60944377060822e-68,-0.673758771131922,0.11,0.331,1.16530892134086e-63
"125","Cd9",6.20460269874576e-68,-1.17289014249054,0.834,0.858,2.00315598129007e-63
"126","Itm2c",6.49097425520606e-68,-0.816287730068845,0.701,0.749,2.09561103829328e-63
"127","Cox6a2",3.89132064835261e-67,-0.759132797079897,0.067,0.275,1.25631287132064e-62
"128","AB124611",4.53766076087389e-67,0.47169720213125,0.888,0.653,1.46498377664814e-62
"129","H2-T23",8.21954138379323e-67,-0.569512472126387,0.929,0.921,2.65367893575764e-62
"130","Ldha",2.86112402537879e-66,0.466756641007949,0.963,0.895,9.23713891593544e-62
"131","Tanc2",3.28574274388996e-66,-0.52489023584122,0.048,0.243,1.06080204486487e-61
"132","Plin2",3.54862860533915e-66,0.456817879169951,0.743,0.438,1.14567474523374e-61
"133","Anxa5",5.7654946422095e-66,0.466451266673718,0.909,0.693,1.86138994523734e-61
"134","Laptm5",7.75435009673177e-66,-0.629246986830458,0.952,0.926,2.50349192872985e-61
"135","Anxa2",7.88354785411201e-66,0.416084200929151,0.808,0.504,2.54520342470006e-61
"136","Slc7a11",1.56303218292417e-65,0.773350608288184,0.671,0.406,5.04624940257067e-61
"137","St3gal6",2.70087752874998e-65,-0.514047512956077,0.044,0.237,8.71978310156931e-61
"138","Ctsf",3.54919639205207e-65,-0.418121708676318,0.026,0.205,1.14585805517401e-60
"139","Gsr",4.1291919558795e-65,0.531593006398032,0.699,0.4,1.3331096229557e-60
"140","Pilra",4.74735235666001e-65,0.473149390296726,0.762,0.49,1.53268270834769e-60
"141","Cx3cr1",7.35419111413812e-65,-1.29558408231647,0.613,0.696,2.37430060119949e-60
"142","Gpx4",1.13874180786303e-64,0.430450995221668,0.939,0.805,3.6764279266858e-60
"143","Emb",2.53099421095575e-64,0.409664360060632,0.796,0.465,8.17131481007063e-60
"144","Gal3st4",2.8733472897547e-64,-0.503609005409855,0.051,0.246,9.27660172497305e-60
"145","C1qb",2.99665233983208e-64,-1.08279459205513,0.904,0.937,9.67469207914788e-60
